Name,PNG,QB3 Fast,QB3 Base,QB3 Best,QB3 Best Band,QB3 + Zstd
Performance-Graph,37795,135762,135435,121452,121452,60242
1454613116,38927,54033,53986,39323,39319,24171
Beam-Space-Processing,40086,56268,56208,38340,37385,27265
No-interference,41164,57707,57640,42614,42614,31593
VerkehrstoteDeutschland1953_2012,44358,45985,45955,33283,33263,28156
AgilityCourseElements,44525,38584,38546,26123,26123,23373
newplot1,45977,104194,103978,93352,91469,52912
newplot,49070,112067,111991,100347,98919,59440
Boxplot,52524,55490,55430,41139,40817,33963
akfcrc022,64123,117282,117109,103893,100163,64609
StockQuoteGraph-20120521,69607,147401,147174,133987,131123,88973
1129482,71865,75589,75496,64217,64217,61324
3DPieChart,78891,115944,115842,105940,105940,80798
nicubunu_Game_baddie_Policeman,83223,91227,91159,85296,85296,76246
EPICA_Delta_D_Plot,88846,123111,122974,99634,88463,70193
Abstract-Art-1,90249,120485,120341,114382,114382,95227
ularapi_Semarang_City_Logo,108292,160118,159864,145719,143134,107981
adriankierman-report-page,123742,201623,201342,191915,183789,137401
Lungs-Cross-Section-Illustration,128369,145048,144841,132413,132413,117336
1536017106,129785,145159,144998,132460,132460,122151
Temperament-pie-chart-according-to-Eysenck,143828,172321,172111,162994,161832,143014
5398956,190208,189882,189522,188721,188721,169754
klepas-Gentle-giants-of-the-sea-3,192674,248797,248579,241273,241273,209185
7552578,209114,193730,193501,191136,191136,176659
1028637,227974,206988,206733,200139,200139,191688
792079,232467,272894,272539,271643,219180,206203
pexels-photo-2908983,243811,258982,258740,258098,257172,244569
1454804,244000,220536,220222,219620,219620,201208
2020432,254586,233191,232967,232169,232169,218408
1418519,255803,249191,248998,248805,248805,235923
5097354,257045,239942,239631,239194,239194,225716
7256805,257379,224299,224021,223416,223416,206525
1475938,257548,247610,247384,245964,245964,233026
271619,258850,250305,250049,249442,249442,233679
670530,260486,227613,227391,227167,227167,211616
861443,263292,262458,262323,262315,245370,233558
2887497,266992,259089,258977,258802,258802,243632
8442861,269082,223890,223717,223456,223456,209734
1200348,272952,263714,263363,262949,262949,247086
1545529,273739,248966,248702,247871,247871,231208
2471234,276425,329681,329397,328928,254531,244245
5212582,277598,280762,280492,280244,268548,256517
pexels-photo-6096399,281017,222020,221739,220743,220743,207183
3330118,283099,252181,251968,251795,251795,237531
144200,285318,281099,280887,280690,275849,263695
1183021,286123,249988,249745,249491,249491,238080
1599791,286706,282898,282477,281555,281555,261415
1910225,291612,302786,302461,301608,290104,277145
239581,296042,271961,271620,271322,271322,259034
3637739,298433,261530,261251,260879,260879,242588
3584430,300164,302190,301873,301743,301743,291515
3836671,300165,233967,233729,232926,232528,219524
1292115,300494,260830,260621,260576,260576,249371
3311574,303033,253788,253574,253258,253258,238616
3762075,303117,294495,294271,293069,293069,287651
7394483,303260,271011,270634,270340,270340,255522
3316926,304789,330714,330100,329283,329283,308094
271624,306520,296667,296286,295606,295606,281127
5894435,308301,272746,272392,270800,270800,260367
3316926_opo25u,308660,278218,277871,277217,277217,265586
pexels-photo-3289880,310744,274427,274173,273906,273906,262648
844297,310745,273301,272972,272293,272293,260755
6292444,311202,310717,310296,310011,310011,297576
1544947,313353,265880,265586,265247,265247,249396
7062227,314706,327420,327023,326624,326624,305871
2444429,314715,300279,300051,299746,299746,285751
2599868,315077,287995,287490,287196,287196,270812
7233401,315205,295094,294820,294648,294648,284320
3952034,316172,315865,315338,314703,314703,297292
1963557,322832,370118,369533,368831,368831,349309
2290070,323415,304637,304318,303891,303891,288041
1583244,324878,287223,286975,286017,286017,271953
1484678,325723,328857,328496,327682,327682,317329
1025469,327388,315512,315217,315107,315107,301305
2253934,327961,326690,326381,325501,325501,312189
1938351,330503,330210,329973,329918,281137,272602
6078297,331441,308429,308013,307923,296288,286756
4666751,331761,327652,327272,326672,291261,280142
7062197,334917,346218,345730,344680,344680,326493
1277396,336216,292601,292307,292009,292009,280098
7195294,336567,332014,331547,330980,330980,315684
4934193,338230,288076,287701,287200,287200,274238
7218572,339089,288524,288145,287957,287957,273445
2936831,339764,342900,342528,342387,328705,318349
3156482,340268,342764,342517,342171,342171,327269
2156881,340658,310650,310306,310123,308272,299802
106399,342494,361053,360766,360332,360332,344177
4215100,345833,324439,324194,323867,323867,307936
21169144185_3f7977cb5a_o,346248,373473,373028,371995,368947,352334
pexels-photo-3155588,346812,308732,308310,307446,307446,296546
3315291,347402,316950,316492,316053,316053,301805
3623285,348285,296463,296097,295536,295536,279493
pexels-photo-951408,348297,317926,317452,317063,317063,303942
1279330,348913,331369,330934,330676,330676,324974
1080721,349752,343736,343320,342921,342921,330190
pexels-photo-2598024,351740,292239,291855,291647,291647,280967
3616956,351929,335979,335718,334950,334950,323665
2232979,352476,308368,308020,307928,307928,295182
pexels-photo-7114620,352878,314091,313742,313127,313127,304059
